Source,Target,Weight,freqT1,freqT2,times,timesT1,timesT2
1443,907,1,0,0,6,NULL,NULL
583,2017,5,0,0,34,NULL,NULL
590,992,1,0,0,6,NULL,NULL
910,439,2,0,0,14,NULL,NULL
1442,2271,1,0,0,6,NULL,NULL
1996,712,1,0,0,6,NULL,NULL
269,1541,5,2,3,104,24,42
1176,960,1,0,0,6,NULL,NULL
294,1030,2,0,0,12,NULL,NULL
1023,1431,1,0,0,6,NULL,NULL
393,1848,1,0,0,6,NULL,NULL
1842,973,1,0,0,7,NULL,NULL
1723,1817,2,0,0,13,NULL,NULL
999,340,1,0,0,7,NULL,NULL
1671,953,1,0,0,7,NULL,NULL
2014,1435,1,0,1,6,NULL,6
1466,1158,1,1,0,6,6,NULL
2108,704,1,0,1,6,NULL,6
269,336,1,0,0,6,NULL,NULL
337,1457,2,0,2,18,NULL,15
1016,438,1,0,1,7,NULL,6
624,343,1,0,0,6,NULL,NULL
1858,1828,1,0,0,7,NULL,NULL
2110,1545,1,0,0,8,NULL,NULL
1401,115,1,0,0,6,NULL,NULL
583,1204,1,0,0,6,NULL,NULL
2000,1023,1,0,1,7,NULL,7
1392,1850,1,1,0,8,8,NULL
2128,2268,3,0,1,23,NULL,6
1815,405,1,1,1,37,22,7
1442,2294,1,0,0,9,NULL,NULL
2295,1373,1,0,0,6,NULL,NULL
1460,1580,2,1,1,19,6,7
1820,1562,2,1,1,54,35,9
355,1788,1,0,0,7,NULL,NULL
1399,1661,2,0,0,13,NULL,NULL
68,68,65,31,31,1233,371,529
1589,1017,11,4,4,195,50,59
2128,854,1,0,0,6,NULL,NULL
612,612,90,40,40,2254,877,740
613,2265,1,1,0,7,6,NULL
583,391,1,1,0,6,6,NULL
385,1014,1,1,0,6,6,NULL
227,357,2,0,0,12,NULL,NULL
1304,1392,1,1,0,6,6,NULL
82,2263,1,0,0,7,NULL,NULL
1427,235,1,0,1,6,NULL,6
2295,1164,1,0,0,6,NULL,NULL
1146,712,1,0,0,6,NULL,NULL
1205,1788,7,3,4,152,51,52
1834,946,1,0,0,6,NULL,NULL
2119,992,1,0,0,6,NULL,NULL
668,402,1,0,0,7,NULL,NULL
300,2022,1,0,0,8,NULL,NULL
2267,1176,1,0,1,6,NULL,6
353,294,1,0,0,7,NULL,NULL
612,1817,1,0,0,7,NULL,NULL
2056,1437,1,1,0,8,6,NULL
1217,1725,1,0,0,6,NULL,NULL
1165,2066,1,0,0,6,NULL,NULL
2268,1017,1,0,1,6,NULL,6
1858,832,1,0,0,6,NULL,NULL
73,1800,1,0,0,6,NULL,NULL
2294,1140,2,1,0,15,7,NULL
1023,226,1,1,0,6,6,NULL
105,104,3,0,0,22,NULL,NULL
902,1202,1,0,0,7,NULL,NULL
415,240,1,0,0,6,NULL,NULL
338,668,1,0,0,6,NULL,NULL
419,1570,1,0,0,6,NULL,NULL
1600,123,2,0,1,15,NULL,6
1136,1845,1,0,1,7,NULL,6
1463,2288,1,0,0,8,NULL,NULL
104,867,1,0,0,7,NULL,NULL
1845,1466,1,0,0,6,NULL,NULL
1825,1499,1,1,0,6,6,NULL
1733,1703,1,0,1,6,NULL,6
1144,240,1,0,0,6,NULL,NULL
613,430,1,0,0,6,NULL,NULL
555,1007,1,0,0,6,NULL,NULL
1996,921,1,0,0,6,NULL,NULL
1225,1746,1,1,0,9,6,NULL
2152,1547,3,3,1,127,85,17
2122,2089,14,9,6,499,204,184
337,2270,1,0,0,6,NULL,NULL
2056,1205,1,0,0,6,NULL,NULL
1033,902,1,1,0,8,8,NULL
2294,1163,1,1,0,6,6,NULL
82,82,56,46,30,1601,678,739
240,1735,7,0,3,50,NULL,19
86,576,2,0,0,26,NULL,NULL
1497,2014,1,0,0,6,NULL,NULL
91,90,1,0,1,10,NULL,8
1302,1547,1,0,1,6,NULL,6
1398,844,1,0,0,6,NULL,NULL
620,862,3,0,0,22,NULL,NULL
1136,1447,1,0,0,6,NULL,NULL
405,328,1,0,0,6,NULL,NULL
409,2265,1,0,0,8,NULL,NULL
1429,80,1,0,0,7,NULL,NULL
1283,1567,10,3,3,111,32,30
294,240,1,0,0,6,NULL,NULL
904,907,7,5,6,315,197,100
1534,2110,1,0,0,6,NULL,NULL
646,2027,1,0,0,7,NULL,NULL
287,1826,1,0,0,6,NULL,NULL
251,612,1,0,0,6,NULL,NULL
277,1731,8,2,2,105,24,18
1413,430,2,0,0,13,NULL,NULL
1517,561,2,1,0,24,12,NULL
1122,1848,1,0,0,6,NULL,NULL
515,1849,1,0,0,6,NULL,NULL
583,1971,1,0,0,7,NULL,NULL
22,1976,2,2,0,13,13,NULL
1021,550,1,0,0,8,NULL,NULL
66,2029,1,0,0,7,NULL,NULL
1262,16,3,1,1,22,6,7
1184,1817,1,0,0,9,NULL,NULL
838,229,1,0,1,7,NULL,6
261,269,1,0,0,7,NULL,NULL
1845,6,2,0,0,13,NULL,NULL
1227,1783,5,0,2,53,NULL,16
2014,61,2,0,0,12,NULL,NULL
1814,1815,1,0,0,8,NULL,NULL
1858,248,1,0,1,7,NULL,6
612,28,1,0,1,6,NULL,6
646,1214,1,0,0,6,NULL,NULL
2242,290,1,1,0,6,6,NULL
1568,863,1,1,0,7,7,NULL
825,826,1,0,1,9,NULL,8
1202,1126,1,0,0,7,NULL,NULL
937,563,1,0,0,6,NULL,NULL
2020,37,1,0,0,9,NULL,NULL
396,1548,1,0,0,6,NULL,NULL
1611,1825,1,0,0,6,NULL,NULL
1899,1159,1,0,0,7,NULL,NULL
25,19,1,1,0,7,7,NULL
656,1501,1,0,0,6,NULL,NULL
91,2085,1,0,0,6,NULL,NULL
858,588,1,1,0,12,9,NULL
1748,353,6,0,0,40,NULL,NULL
1590,1273,2,2,0,23,23,NULL
1804,1136,1,0,0,14,NULL,NULL
1159,2259,1,0,0,6,NULL,NULL
1030,658,1,0,0,6,NULL,NULL
679,1291,1,0,0,7,NULL,NULL
1246,973,1,0,0,6,NULL,NULL
409,61,1,0,0,6,NULL,NULL
1518,1438,1,0,0,8,NULL,NULL
1518,442,1,1,1,41,13,21
1998,2037,1,0,0,6,NULL,NULL
1748,1535,3,0,1,21,NULL,6
960,299,1,0,0,6,NULL,NULL
1943,2002,2,0,0,12,NULL,NULL
1555,438,1,0,0,10,NULL,NULL
251,1611,2,1,1,31,8,6
1838,1492,2,0,2,21,NULL,21
526,1433,1,1,0,10,10,NULL
1555,229,1,0,0,7,NULL,NULL
583,583,142,59,76,3801,1254,1665
1016,853,1,0,0,6,NULL,NULL
2023,653,2,0,0,16,NULL,NULL
534,1454,1,0,0,6,NULL,NULL
2105,1393,1,0,0,7,NULL,NULL
633,580,5,1,3,120,7,79
2108,1119,1,0,1,10,NULL,10
61,420,1,0,0,6,NULL,NULL
1296,970,14,5,8,204,44,94
1400,526,1,0,0,6,NULL,NULL
946,73,3,3,3,110,34,37
1494,1163,3,0,3,32,NULL,21
682,1223,1,0,0,6,NULL,NULL
553,1142,1,0,1,8,NULL,6
688,1408,3,0,3,47,NULL,46
16,2029,1,1,0,9,8,NULL
1413,613,1,0,0,7,NULL,NULL
2128,1501,1,0,0,6,NULL,NULL
858,2008,4,1,4,98,24,58
2001,2052,2,0,0,26,NULL,NULL
1804,1743,1,1,0,7,7,NULL
960,668,3,0,1,20,NULL,6
261,2287,7,4,3,158,57,56
261,1291,1,0,0,6,NULL,NULL
409,668,23,7,9,399,108,177
2103,2135,1,1,0,26,19,NULL
2215,2101,1,0,0,10,NULL,NULL
95,378,1,1,0,79,79,NULL
277,2146,1,0,0,11,NULL,NULL
1433,580,3,0,0,19,NULL,NULL
655,409,1,1,0,19,10,NULL
1002,255,1,0,0,6,NULL,NULL
1677,64,1,0,0,7,NULL,NULL
1399,2242,1,0,1,6,NULL,6
682,439,1,1,0,10,6,NULL
2031,1487,1,0,0,6,NULL,NULL
966,2267,16,4,1,153,39,6
612,1448,1,0,1,9,NULL,6
370,830,4,0,0,26,NULL,NULL
419,1739,1,1,0,8,7,NULL
257,980,3,2,3,160,32,103
1173,653,4,0,0,26,NULL,NULL
968,1717,1,1,1,29,13,10
2066,2139,3,0,1,22,NULL,8
1168,1168,15,6,8,371,95,158
2287,2142,1,0,0,6,NULL,NULL
1850,825,1,0,1,9,NULL,7
391,1382,1,0,1,32,NULL,23
299,959,1,0,0,7,NULL,NULL
534,1666,1,0,0,8,NULL,NULL
385,1203,1,0,1,6,NULL,6
557,1121,11,7,6,399,219,143
553,604,2,0,0,12,NULL,NULL
1164,61,1,0,0,7,NULL,NULL
543,1814,1,0,1,6,NULL,6
973,1677,1,1,0,6,6,NULL
1677,1567,1,0,0,6,NULL,NULL
240,1781,2,0,0,12,NULL,NULL
2112,2057,4,3,1,48,35,6
1870,1545,1,0,0,6,NULL,NULL
1661,1702,1,0,0,6,NULL,NULL
653,1838,3,2,0,19,13,NULL
2146,1723,1,0,0,6,NULL,NULL
1661,520,2,0,0,14,NULL,NULL
534,1975,2,0,0,26,NULL,NULL
1170,1136,1,0,1,31,NULL,27
1450,257,2,0,1,21,NULL,6
261,561,1,0,0,8,NULL,NULL
2066,871,1,0,0,6,NULL,NULL
1845,298,1,0,1,6,NULL,6
1138,439,1,0,0,6,NULL,NULL
131,393,1,0,0,9,NULL,NULL
277,2000,1,0,0,6,NULL,NULL
1729,1226,1,0,0,6,NULL,NULL
1845,2110,1,1,0,7,6,NULL
716,1410,2,2,1,82,48,23
1417,2244,2,1,0,12,6,NULL
2007,1186,1,0,0,9,NULL,NULL
1174,56,1,1,1,16,8,8
1121,241,1,0,0,7,NULL,NULL
38,544,8,4,3,221,60,94
1414,832,1,0,0,7,NULL,NULL
980,283,1,0,0,7,NULL,NULL
1143,966,1,0,0,7,NULL,NULL
1393,1545,1,0,1,9,NULL,9
1849,1030,1,0,1,7,NULL,7
1788,1509,1,0,0,7,NULL,NULL
653,3,1,0,0,6,NULL,NULL
661,262,1,0,0,6,NULL,NULL
264,2242,1,0,0,6,NULL,NULL
246,1436,2,0,0,12,NULL,NULL
1804,1551,1,0,0,6,NULL,NULL
624,2032,1,0,0,6,NULL,NULL
849,1164,18,6,8,328,81,146
1555,836,1,0,0,8,NULL,NULL
1246,1886,3,0,0,21,NULL,NULL
1417,1431,1,0,0,6,NULL,NULL
2256,2139,1,0,0,6,NULL,NULL
966,1574,4,0,2,29,NULL,14
847,1611,3,1,2,68,19,35
